# the oscillation parameters of (dm2, sin^2_theta14, and sin^2_theta_24) are divided into 80x60x60 grids 
# column 1-3: index for the dm2, sin^2_theta14, and sin^2_theta_24
# column 4-6: values of the dm2 (eV^2), sin^2_theta14, and sin^2_theta_24
# column 7: delta_Chi2 = Chi2_gridpoint - Chi2_globalmin
 1  3 20   0.0106 0.000147 0.001995       2.52960977
 1  3 21   0.0106 0.000147 0.002326       2.52961412
 1  3 22   0.0106 0.000147 0.002712       2.52961918
 1  3 23   0.0106 0.000147 0.003162       2.52962509
 1  3 24   0.0106 0.000147 0.003687       2.52963196
 1  3 25   0.0106 0.000147 0.004299       2.52963997
 1  3 26   0.0106 0.000147 0.005012       2.52964930
 1  3 27   0.0106 0.000147 0.005843       2.52966015
 1  3 28   0.0106 0.000147 0.006813       2.52967279
 1  3 29   0.0106 0.000147 0.007943       2.52968748
 1  3 30   0.0106 0.000147 0.009261       2.52970458
 1  3 31   0.0106 0.000147 0.010798       2.52972446
 1  3 32   0.0106 0.000147 0.012589       2.52974755
 1  3 33   0.0106 0.000147 0.014678       2.52977438
 1  3 34   0.0106 0.000147 0.017113       2.52980551
 1  3 35   0.0106 0.000147 0.019953       2.52984161
 1  3 36   0.0106 0.000147 0.023263       2.52988343
 1  3 37   0.0106 0.000147 0.027123       2.52993184
 1  3 38   0.0106 0.000147 0.031623       2.52998779
 1  3 39   0.0106 0.000147 0.036869       2.53005236
 1  3 40   0.0106 0.000147 0.042987       2.53012674
 1  3 41   0.0106 0.000147 0.050119       2.53021224
 1  3 42   0.0106 0.000147 0.058434       2.53031026
 1  3 43   0.0106 0.000147 0.068129       2.53042227
 1  3 44   0.0106 0.000147 0.079433       2.53054978
 1  3 45   0.0106 0.000147 0.092612       2.53069426
 1  3 46   0.0106 0.000147 0.107978       2.53085701
 1  3 47   0.0106 0.000147 0.125893       2.53103903
 1  3 48   0.0106 0.000147 0.146780       2.53124071
 1  3 49   0.0106 0.000147 0.171133       2.53146154
 1  3 50   0.0106 0.000147 0.199526       2.53169953
 1  3 51   0.0106 0.000147 0.232631       2.53195054
 1  3 52   0.0106 0.000147 0.271227       2.53220719
 1  3 53   0.0106 0.000147 0.316228       2.53245747
 1  3 54   0.0106 0.000147 0.368695       2.53269175
 1  3 55   0.0106 0.000147 0.429866       2.53286445
 1  3 56   0.0106 0.000147 0.501187       2.53294273
 1  3 57   0.0106 0.000147 0.584341       2.53286641
 1  3 58   0.0106 0.000147 0.681292       2.53255031
 1  3 59   0.0106 0.000147 0.794328       2.53191207
 1  3 60   0.0106 0.000147 0.926119       2.53071092
 1  4  1   0.0106 0.000171 0.000108       2.52958476
 1  4  2   0.0106 0.000171 0.000126       2.52958500
 1  4  3   0.0106 0.000171 0.000147       2.52958527
 1  4  4   0.0106 0.000171 0.000171       2.52958559
 1  4  5   0.0106 0.000171 0.000200       2.52958597
 1  4  6   0.0106 0.000171 0.000233       2.52958641
 1  4  7   0.0106 0.000171 0.000271       2.52958692
 1  4  8   0.0106 0.000171 0.000316       2.52958751
 1  4  9   0.0106 0.000171 0.000369       2.52958821
 1  4 10   0.0106 0.000171 0.000430       2.52958901
 1  4 11   0.0106 0.000171 0.000501       2.52958996
 1  4 12   0.0106 0.000171 0.000584       2.52959106
 1  4 13   0.0106 0.000171 0.000681       2.52959234
 1  4 14   0.0106 0.000171 0.000794       2.52959383
 1  4 15   0.0106 0.000171 0.000926       2.52959557
 1  4 16   0.0106 0.000171 0.001080       2.52959760
 1  4 17   0.0106 0.000171 0.001259       2.52959996
 1  4 18   0.0106 0.000171 0.001468       2.52960272
 1  4 19   0.0106 0.000171 0.001711       2.52960593
 1  4 20   0.0106 0.000171 0.001995       2.52960967
 1  4 21   0.0106 0.000171 0.002326       2.52961403
 1  4 22   0.0106 0.000171 0.002712       2.52961911
 1  4 23   0.0106 0.000171 0.003162       2.52962503
 1  4 24   0.0106 0.000171 0.003687       2.52963192
 1  4 25   0.0106 0.000171 0.004299       2.52963995
 1  4 26   0.0106 0.000171 0.005012       2.52964929
 1  4 27   0.0106 0.000171 0.005843       2.52966017
 1  4 28   0.0106 0.000171 0.006813       2.52967284
 1  4 29   0.0106 0.000171 0.007943       2.52968757
 1  4 30   0.0106 0.000171 0.009261       2.52970471
 1  4 31   0.0106 0.000171 0.010798       2.52972463
 1  4 32   0.0106 0.000171 0.012589       2.52974778
 1  4 33   0.0106 0.000171 0.014678       2.52977467
 1  4 34   0.0106 0.000171 0.017113       2.52980588
 1  4 35   0.0106 0.000171 0.019953       2.52984206
 1  4 36   0.0106 0.000171 0.023263       2.52988399
 1  4 37   0.0106 0.000171 0.027123       2.52993252
 1  4 38   0.0106 0.000171 0.031623       2.52998861
 1  4 39   0.0106 0.000171 0.036869       2.53005334
 1  4 40   0.0106 0.000171 0.042987       2.53012791
 1  4 41   0.0106 0.000171 0.050119       2.53021363
 1  4 42   0.0106 0.000171 0.058434       2.53031190
 1  4 43   0.0106 0.000171 0.068129       2.53042421
 1  4 44   0.0106 0.000171 0.079433       2.53055207
 1  4 45   0.0106 0.000171 0.092612       2.53069696
 1  4 46   0.0106 0.000171 0.107978       2.53086019
 1  4 47   0.0106 0.000171 0.125893       2.53104276
 1  4 48   0.0106 0.000171 0.146780       2.53124508
 1  4 49   0.0106 0.000171 0.171133       2.53146667
 1  4 50   0.0106 0.000171 0.199526       2.53170554
 1  4 51   0.0106 0.000171 0.232631       2.53195758
 1  4 52   0.0106 0.000171 0.271227       2.53221543
 1  4 53   0.0106 0.000171 0.316228       2.53247616
 1  4 54   0.0106 0.000171 0.368695       2.53270365
 1  4 55   0.0106 0.000171 0.429866       2.53287836
 1  4 56   0.0106 0.000171 0.501187       2.53295873
 1  4 57   0.0106 0.000171 0.584341       2.53288542
 1  4 58   0.0106 0.000171 0.681292       2.53261183
 1  4 59   0.0106 0.000171 0.794328       2.53194648
 1  4 60   0.0106 0.000171 0.926119       2.53075114
 1  5  1   0.0106 0.000200 0.000108       2.52958458
 1  5  2   0.0106 0.000200 0.000126       2.52958482
 1  5  3   0.0106 0.000200 0.000147       2.52958510
 1  5  4   0.0106 0.000200 0.000171       2.52958542
 1  5  5   0.0106 0.000200 0.000200       2.52958579
 1  5  6   0.0106 0.000200 0.000233       2.52958623
 1  5  7   0.0106 0.000200 0.000271       2.52958674
 1  5  8   0.0106 0.000200 0.000316       2.52958734
 1  5  9   0.0106 0.000200 0.000369       2.52958804
 1  5 10   0.0106 0.000200 0.000430       2.52958885
 1  5 11   0.0106 0.000200 0.000501       2.52958979
 1  5 12   0.0106 0.000200 0.000584       2.52959089
 1  5 13   0.0106 0.000200 0.000681       2.52959218
 1  5 14   0.0106 0.000200 0.000794       2.52959367
 1  5 15   0.0106 0.000200 0.000926       2.52959542
 1  5 16   0.0106 0.000200 0.001080       2.52959745
 1  5 17   0.0106 0.000200 0.001259       2.52959982
 1  5 18   0.0106 0.000200 0.001468       2.52960259
 1  5 19   0.0106 0.000200 0.001711       2.52960581
 1  5 20   0.0106 0.000200 0.001995       2.52960956
 1  5 21   0.0106 0.000200 0.002326       2.52961393
 1  5 22   0.0106 0.000200 0.002712       2.52961902
 1  5 23   0.0106 0.000200 0.003162       2.52962496
 1  5 24   0.0106 0.000200 0.003687       2.52963187
 1  5 25   0.0106 0.000200 0.004299       2.52963992
 1  5 26   0.0106 0.000200 0.005012       2.52964929
 1  5 27   0.0106 0.000200 0.005843       2.52966020
 1  5 28   0.0106 0.000200 0.006813       2.52967290
 1  5 29   0.0106 0.000200 0.007943       2.52968767
 1  5 30   0.0106 0.000200 0.009261       2.52970486
 1  5 31   0.0106 0.000200 0.010798       2.52972484
 1  5 32   0.0106 0.000200 0.012589       2.52974805
 1  5 33   0.0106 0.000200 0.014678       2.52977501
 1  5 34   0.0106 0.000200 0.017113       2.52980631
 1  5 35   0.0106 0.000200 0.019953       2.52984260
 1  5 36   0.0106 0.000200 0.023263       2.52988464
 1  5 37   0.0106 0.000200 0.027123       2.52993331
 1  5 38   0.0106 0.000200 0.031623       2.52998956
 1  5 39   0.0106 0.000200 0.036869       2.53005448
 1  5 40   0.0106 0.000200 0.042987       2.53012927
 1  5 41   0.0106 0.000200 0.050119       2.53021524
 1  5 42   0.0106 0.000200 0.058434       2.53031381
 1  5 43   0.0106 0.000200 0.068129       2.53042647
 1  5 44   0.0106 0.000200 0.079433       2.53055474
 1  5 45   0.0106 0.000200 0.092612       2.53070010
 1  5 46   0.0106 0.000200 0.107978       2.53086389
 1  5 47   0.0106 0.000200 0.125893       2.53104710
 1  5 48   0.0106 0.000200 0.146780       2.53125018
 1  5 49   0.0106 0.000200 0.171133       2.53147265
 1  5 50   0.0106 0.000200 0.199526       2.53171255
 1  5 51   0.0106 0.000200 0.232631       2.53196578
 1  5 52   0.0106 0.000200 0.271227       2.53223408
 1  5 53   0.0106 0.000200 0.316228       2.53248801
 1  5 54   0.0106 0.000200 0.368695       2.53271751
 1  5 55   0.0106 0.000200 0.429866       2.53289431
 1  5 56   0.0106 0.000200 0.501187       2.53297768
 1  5 57   0.0106 0.000200 0.584341       2.53294688
 1  5 58   0.0106 0.000200 0.681292       2.53264617
 1  5 59   0.0106 0.000200 0.794328       2.53198660
 1  5 60   0.0106 0.000200 0.926119       2.53079817
 1  6  1   0.0106 0.000233 0.000108       2.52958437
 1  6  2   0.0106 0.000233 0.000126       2.52958461
 1  6  3   0.0106 0.000233 0.000147       2.52958489
 1  6  4   0.0106 0.000233 0.000171       2.52958521
 1  6  5   0.0106 0.000233 0.000200       2.52958559
 1  6  6   0.0106 0.000233 0.000233       2.52958603
 1  6  7   0.0106 0.000233 0.000271       2.52958654
 1  6  8   0.0106 0.000233 0.000316       2.52958714
 1  6  9   0.0106 0.000233 0.000369       2.52958784
 1  6 10   0.0106 0.000233 0.000430       2.52958865
 1  6 11   0.0106 0.000233 0.000501       2.52958960
 1  6 12   0.0106 0.000233 0.000584       2.52959070
 1  6 13   0.0106 0.000233 0.000681       2.52959199
 1  6 14   0.0106 0.000233 0.000794       2.52959349
 1  6 15   0.0106 0.000233 0.000926       2.52959524
 1  6 16   0.0106 0.000233 0.001080       2.52959729
 1  6 17   0.0106 0.000233 0.001259       2.52959966
 1  6 18   0.0106 0.000233 0.001468       2.52960243
 1  6 19   0.0106 0.000233 0.001711       2.52960566
 1  6 20   0.0106 0.000233 0.001995       2.52960943
 1  6 21   0.0106 0.000233 0.002326       2.52961381
 1  6 22   0.0106 0.000233 0.002712       2.52961892
 1  6 23   0.0106 0.000233 0.003162       2.52962488
